"reaction number","true rclass","true reaction smiles","true prod","pred reaction smiles","pred prod","conf","projID","retroID","true_deltaCM","true_deltaSA","retpred_deltaCM","retpred_deltaSA"
4.,"substitution","Br[C@H]1CCCC(C)=C1.[C-]#N>>CC2=C[C@H](C#N)CCC2","CC2=C[C@H](C#N)CCC2","CC1=C[C@H](C(N)=O)CCC1.CCN(CC)CC.ClCCl.O=C(OC(=O)C(F)(F)F)C(F)(F)F>>CC2=C[C@H](C#N)CCC2","CC2=C[C@H](C#N)CCC2",0.995,"602c6e63329a1000012c1428","602c8949329a1000012c273a",-18.294409849884474,-5.123409920360433,-135.6124705705625,-6.873528285486333
4.2,"substitution","Br[C@H]1CCCC(C)=C1.[C-]#N>>CC2=C[C@H](C#N)CCC2","CC2=C[C@H](C#N)CCC2","CC1=C[C@@H](OS(C)(=O)=O)CCC1.[C-]#N.[Na+]>>CC2=C[C@H](C#N)CCC2","CC2=C[C@H](C#N)CCC2",0.795,"602c6e63329a1000012c1428","602c8949329a1000012c273a",-18.294409849884474,-5.123409920360433,-91.88872502451933,-13.305462341855097
4.3,"substitution","Br[C@H]1CCCC(C)=C1.[C-]#N>>CC2=C[C@H](C#N)CCC2","CC2=C[C@H](C#N)CCC2","CC1=C[C@@H](OS(C)(=O)=O)CCC1.N#C[Na].CN(C)C=O.O>>CC2=C[C@H](C#N)CCC2","CC2=C[C@H](C#N)CCC2",0.746,"602c6e63329a1000012c1428","602c8949329a1000012c273a",-18.294409849884474,-5.123409920360433,-157.02606241128035,-13.891048022308421
5.,"substitution","C/C=C/CBr.[C-]#N>>C/C=C/CC#N","C/C=C/CC#N","C/C=C/CBr.CN(C)C=O.[C-]#N.[Na+].[C-]#N.[Na+]>>C/C=C/CC#N","C/C=C/CC#N",1.,"602c6e63329a1000012c1428","602c8970329a1000012c2761",-2.7846348455575125,-5.253595486679402,-66.07560342642019,-30.12427920718219
5.2,"substitution","C/C=C/CBr.[C-]#N>>C/C=C/CC#N","C/C=C/CC#N","C/C=C/CCl.CN(C)C=O.[C-]#N.[Na+].[C-]#N.[Na+]>>C/C=C/CC#N","C/C=C/CC#N",1.,"602c6e63329a1000012c1428","602c8970329a1000012c2761",-2.7846348455575125,-5.253595486679402,-66.07560342642019,-30.009207017833077
5.3,"substitution","C/C=C/CBr.[C-]#N>>C/C=C/CC#N","C/C=C/CC#N","C/C=C/CCl.CN(C)C=O.[C-]#N.[K+].[C-]#N.[K+]>>C/C=C/CC#N","C/C=C/CC#N",1.,"602c6e63329a1000012c1428","602c8970329a1000012c2761",-2.7846348455575125,-5.253595486679402,-66.07560342642019,-29.028091626540075
5.4,"substitution","C/C=C/CBr.[C-]#N>>C/C=C/CC#N","C/C=C/CC#N","N#C[Na].C/C=C/CBr.CN(C)C=O.O>>C/C=C/CC#N","C/C=C/CC#N",1.,"602c6e63329a1000012c1428","602c8970329a1000012c2761",-2.7846348455575125,-5.253595486679402,-67.92197223231851,-14.318754247394615
5.5,"substitution","C/C=C/CBr.[C-]#N>>C/C=C/CC#N","C/C=C/CC#N","C/C=C/COS(C)(=O)=O.[C-]#N.[Na+]>>C/C=C/CC#N","C/C=C/CC#N",1.,"602c6e63329a1000012c1428","602c8970329a1000012c2761",-2.7846348455575125,-5.253595486679402,-76.37895002019236,-13.076004929722579
6.,"substitution","CC(C)C(O)CC.Br>>CC(C)(Br)CCC","CC(C)(Br)CCC","Br.CCCC(C)(C)O.O>>CC(C)(Br)CCC","CC(C)(Br)CCC",1.,"602c6e63329a1000012c1428","602c8ab7329a1000012c2806",-19.744690167423286,-6.705876826575469,0.4447848426729024,-12.205523981900454
6.2,"substitution","CC(C)C(O)CC.Br>>CC(C)(Br)CCC","CC(C)(Br)CCC","Br.CCCC(C)(C)O>>CC(C)(Br)CCC","CC(C)(Br)CCC",1.,"602c6e63329a1000012c1428","602c8ab7329a1000012c2806",-19.744690167423286,-6.705876826575469,0.4447848426729024,-6.337047058823531
6.3,"substitution","CC(C)C(O)CC.Br>>CC(C)(Br)CCC","CC(C)(Br)CCC","BrP(Br)Br.CCCC(C)(C)O.O>>CC(C)(Br)CCC","CC(C)(Br)CCC",1.,"602c6e63329a1000012c1428","602c8ab7329a1000012c2806",-19.744690167423286,-6.705876826575469,-15.791061114716946,-10.498272028368435
6.4,"substitution","CC(C)C(O)CC.Br>>CC(C)(Br)CCC","CC(C)(Br)CCC","BrP(Br)Br.CCCC(C)(C)O>>CC(C)(Br)CCC","CC(C)(Br)CCC",1.,"602c6e63329a1000012c1428","602c8ab7329a1000012c2806",-19.744690167423286,-6.705876826575469,-15.791061114716946,-4.629795105291511
6.5,"substitution","CC(C)C(O)CC.Br>>CC(C)(Br)CCC","CC(C)(Br)CCC","BrP(Br)Br.CCCC(C)(C)O.CCOCC.O>>CC(C)(Br)CCC","CC(C)(Br)CCC",1.,"602c6e63329a1000012c1428","602c8ab7329a1000012c2806",-19.744690167423286,-6.705876826575469,-36.96098611615926,-12.403945381070999
7.,"substitution","CC(C)(C)[C@H]1CC[C@@H](I)CC1.[C-]#N>>CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]1CC[C@H](C(N)=O)CC1.CCN(CC)CC.ClCCl.O=C(OC(=O)C(F)(F)F)C(F)(F)F>>CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]2CC[C@H](C#N)CC2",1.,"602c6e63329a1000012c1428","602c8ae1329a1000012c285e",-7.539522347721004,-5.482164956438254,-135.6124705705625,-6.9362131010627035
7.2,"substitution","CC(C)(C)[C@H]1CC[C@@H](I)CC1.[C-]#N>>CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]1CC[C@@H](OS(C)(=O)=O)CC1.CS(C)=O.[C-]#N.[Na+]>>CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]2CC[C@H](C#N)CC2",0.988,"602c6e63329a1000012c1428","602c8ae1329a1000012c285e",-7.539522347721004,-5.482164956438254,-119.81353752812512,-16.765251461063507
7.3,"substitution","CC(C)(C)[C@H]1CC[C@@H](I)CC1.[C-]#N>>CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]1CC[C@@H](OS(C)(=O)=O)CC1.N#C[Na].CS(C)=O.O>>CC(C)(C)[C@H]2CC[C@H](C#N)CC2","CC(C)(C)[C@H]2CC[C@H](C#N)CC2",0.988,"602c6e63329a1000012c1428","602c8ae1329a1000012c285e",-7.539522347721004,-5.482164956438254,-136.64361252668277,-14.68720596202567
8.,"substitution","I[C@]([H])(CC)C.[C-]#N>>N#C[C@@]([H])(CC)C","N#C[C@@]([H])(CC)C","CC[C@H](C)OS(C)(=O)=O.CS(C)=O.[C-]#N.[Na+]>>N#C[C@@]([H])(CC)C","N#C[C@@]([H])(CC)C",0.983,"602c6e63329a1000012c1428","602c8b09329a1000012c2886",-18.294409849884453,-5.22769903966488,-130.56842503028858,-16.527115245877397
8.2,"substitution","I[C@]([H])(CC)C.[C-]#N>>N#C[C@@]([H])(CC)C","N#C[C@@]([H])(CC)C","CC[C@@H](C)OS(C)(=O)=O.[C-]#N.[Na+].[C-]#N.[Na+]>>N#C[C@@]([H])(CC)C","N#C[C@@]([H])(CC)C",0.0213,"602c6e63329a1000012c1428","602c8b09329a1000012c2886",-18.294409849884453,-5.22769903966488,-106.87243121717867,-27.143219737082234
8.299999999999999,"substitution","I[C@]([H])(CC)C.[C-]#N>>N#C[C@@]([H])(CC)C","N#C[C@@]([H])(CC)C","CC[C@@H](C)OS(C)(=O)=O.CN(C)C=O.[C-]#N.[Na+].[C-]#N.[Na+]>>N#C[C@@]([H])(CC)C","N#C[C@@]([H])(CC)C",0.0212,"602c6e63329a1000012c1428","602c8b09329a1000012c2886",-18.294409849884453,-5.22769903966488,-155.179693605382,-29.806850916573396
8.399999999999999,"substitution","I[C@]([H])(CC)C.[C-]#N>>N#C[C@@]([H])(CC)C","N#C[C@@]([H])(CC)C","CC[C@@H](C)OS(C)(=O)=O.CS(C)=O.[C-]#N.[Na+].[C-]#N.[Na+]>>N#C[C@@]([H])(CC)C","N#C[C@@]([H])(CC)C",0.0191,"602c6e63329a1000012c1428","602c8b09329a1000012c2886",-18.294409849884453,-5.22769903966488,-145.55213122294793,-30.254594706627138
8.5,"substitution","I[C@]([H])(CC)C.[C-]#N>>N#C[C@@]([H])(CC)C","N#C[C@@]([H])(CC)C","N#C[Na].CC[C@@H](C)OS(C)(=O)=O.CN(C)C=O>>N#C[C@@]([H])(CC)C","N#C[C@@]([H])(CC)C",0.0183,"602c6e63329a1000012c1428","602c8b09329a1000012c2886",-18.294409849884453,-5.22769903966488,-157.02606241128032,-8.132849033708894
9.,"substitution","C[C@](Br)(CC)[H].[O-]C>>C[C@@]([H])(OC)CC","C[C@@]([H])(OC)CC","C1CCOC1.CC[C@@H](C)O.CI.[NaH]>>C[C@@]([H])(OC)CC","C[C@@]([H])(OC)CC",1.,"602c6e63329a1000012c1428","602c8b33329a1000012c28cd",3.555215157327112,-4.053464634070475,-21.61470984411521,-14.362209033683664
9.2,"substitution","C[C@](Br)(CC)[H].[O-]C>>C[C@@]([H])(OC)CC","C[C@@]([H])(OC)CC","C1CCOC1.CC[C@@H](C)O.CI.O.[NaH]>>C[C@@]([H])(OC)CC","C[C@@]([H])(OC)CC",1.,"602c6e63329a1000012c1428","602c8b33329a1000012c28cd",3.555215157327112,-4.053464634070475,-21.61470984411521,-20.23068595676058
9.299999999999999,"substitution","C[C@](Br)(CC)[H].[O-]C>>C[C@@]([H])(OC)CC","C[C@@]([H])(OC)CC","C1CCOC1.CC[C@@H](C)O.CI.[H-].[Na+].[H-].[Na+]>>C[C@@]([H])(OC)CC","C[C@@]([H])(OC)CC",1.,"602c6e63329a1000012c1428","602c8b33329a1000012c28cd",3.555215157327112,-4.053464634070475,-21.61470984411521,-39.80092827446932
9.399999999999999,"substitution","C[C@](Br)(CC)[H].[O-]C>>C[C@@]([H])(OC)CC","C[C@@]([H])(OC)CC","C1CCOC1.CC[C@@H](C)O.CI.O.[H-].[Na+].[H-].[Na+]>>C[C@@]([H])(OC)CC","C[C@@]([H])(OC)CC",1.,"602c6e63329a1000012c1428","602c8b33329a1000012c28cd",3.555215157327112,-4.053464634070475,-21.61470984411521,-45.66940519754624
9.5,"substitution","C[C@](Br)(CC)[H].[O-]C>>C[C@@]([H])(OC)CC","C[C@@]([H])(OC)CC","C=C[C@@H](C)OC.C1CCOC1.[H][H].[Pd]>>C[C@@]([H])(OC)CC","C[C@@]([H])(OC)CC",1.,"602c6e63329a1000012c1428","602c8b33329a1000012c28cd",3.555215157327112,-4.053464634070475,-27.33985000288463,-18.39040589584628
10.,"substitution","Br[C@]([2H])([H])C.[OH-]>>O[C@@]([2H])([H])C","O[C@@]([2H])([H])C","[2H]C([2H])=O.[H][H]>>O[C@@]([2H])([H])C","O[C@@]([2H])([H])C",6.16e-7,"602c6e63329a1000012c1428","602c8b5c329a1000012c292c",-0.4447848426728953,-8.80857500333881,24.,-8.980714817911416
10.2,"substitution","Br[C@]([2H])([H])C.[OH-]>>O[C@@]([2H])([H])C","O[C@@]([2H])([H])C","[2H][Al-]([2H])([2H])[2H].[Li+].C1CCOC1.[2H][Al-]([2H])([2H])[2H].[Li+]>>O[C@@]([2H])([H])C","O[C@@]([2H])([H])C",5.28e-10,"602c6e63329a1000012c1428","602c8b5c329a1000012c292c",-0.4447848426728953,-8.80857500333881,6.,-30.13762612464824
10.299999999999999,"substitution","Br[C@]([2H])([H])C.[OH-]>>O[C@@]([2H])([H])C","O[C@@]([2H])([H])C","[2H]C([2H])=O.[2H][B-]([2H])([2H])[2H].[Na+].[2H][B-]([2H])([2H])[2H].[Na+]>>O[C@@]([2H])([H])C","O[C@@]([2H])([H])C",3.79e-11,"602c6e63329a1000012c1428","602c8b5c329a1000012c292c",-0.4447848426728953,-8.80857500333881,24.,-34.96200093652543
10.399999999999999,"substitution","Br[C@]([2H])([H])C.[OH-]>>O[C@@]([2H])([H])C","O[C@@]([2H])([H])C","O=C([O-])[O-].[K+].[K+].[2H]O[2H].O=C([O-])[O-].[K+].[K+]>>O[C@@]([2H])([H])C","O[C@@]([2H])([H])C",9.48e-12,"602c6e63329a1000012c1428","602c8b5c329a1000012c292c",-0.4447848426728953,-8.80857500333881,-25.509775004326936,-42.135188890509795
10.5,"substitution","Br[C@]([2H])([H])C.[OH-]>>O[C@@]([2H])([H])C","O[C@@]([2H])([H])C","[2H]C([2H])([2H])OC([2H])([2H])[2H].Cl>>O[C@@]([2H])([H])C","O[C@@]([2H])([H])C",6.85e-13,"602c6e63329a1000012c1428","602c8b5c329a1000012c292c",-0.4447848426728953,-8.80857500333881,31.169925001442312,-8.597448730191484
11.,"elimination","CC(C)(C)Br.[OH-]>>CC(C)=C","CC(C)=C","C1CCOC1.CC(C)(C)O[K]>>CC(C)=C","CC(C)=C",0.00182,"602c6e99329a1000012c1439","6031b89a71c8b600012f5572",-11.614709844115207,-8.535658416082269,-52.67970000576925,-3.4067164758225204
11.2,"elimination","CC(C)(C)Br.[OH-]>>CC(C)=C","CC(C)=C","CC(C)(C)c1ccc(O)cc1.CC(C)(C)c1ccccc1>>CC(C)=C","CC(C)=C",0.0005030000000000001,"602c6e99329a1000012c1439","6031b89a71c8b600012f5572",-11.614709844115207,-8.535658416082269,-78.43458750793272,-0.4693340128266019
11.299999999999999,"elimination","CC(C)(C)Br.[OH-]>>CC(C)=C","CC(C)=C","C1CCC2=NCCCN2CC1.CC(C)(C)O>>CC(C)=C","CC(C)=C",2.22e-6,"602c6e99329a1000012c1439","6031b89a71c8b600012f5572",-11.614709844115207,-8.535658416082269,-140.2388309575275,-2.222942595194535
11.399999999999999,"elimination","CC(C)(C)Br.[OH-]>>CC(C)=C","CC(C)=C","C1CCC2=NCCCN2CC1.CC(C)=O>>CC(C)=C","CC(C)=C",5.730000000000001e-7,"602c6e99329a1000012c1439","6031b89a71c8b600012f5572",-11.614709844115207,-8.535658416082269,-141.2388309575275,-1.8638791824510754
11.5,"elimination","CC(C)(C)Br.[OH-]>>CC(C)=C","CC(C)=C","C1CCC2=NCCCN2CC1.CC(C)(C)O.CC(C)=O>>CC(C)=C","CC(C)=C",2.23e-8,"602c6e99329a1000012c1439","6031b89a71c8b600012f5572",-11.614709844115207,-8.535658416082269,-165.40875595896983,-3.8778752570471315
12.,"elimination","ClC1CCCCC1.[O-]C>>C2CCCC=C2","C2CCCC=C2","[H][H].c1ccccc1>>C2CCCC=C2","C2CCCC=C2",0.299,"602c6e99329a1000012c1439","6031b8c371c8b600012f55cb",-24.954559846999825,-3.7558848033411563,8.415037499278844,-5.70130157731756
12.2,"elimination","ClC1CCCCC1.[O-]C>>C2CCCC=C2","C2CCCC=C2","C=CCCCCC=C.Cc1ccccc1>>C2CCCC=C2","C2CCCC=C2",0.0986,"602c6e99329a1000012c1439","6031b8c371c8b600012f55cb",-24.954559846999825,-3.7558848033411563,-30.92481250360579,-1.024931628182605
12.299999999999999,"elimination","ClC1CCCCC1.[O-]C>>C2CCCC=C2","C2CCCC=C2","Cc1ccc(S(=O)(=O)O)cc1.OC1CCCCC1>>C2CCCC=C2","C2CCCC=C2",0.000377,"602c6e99329a1000012c1439","6031b8c371c8b600012f55cb",-24.954559846999825,-3.7558848033411563,-114.54887502163469,-0.9145734806359442
13.,"elimination","OCC1CCCCC1.O=S(O)(O)=O>>CC2=CCCCC2","CC2=CCCCC2","CC1(O)CCCCC1.O=P(O)(O)O>>CC2=CCCCC2","CC2=CCCCC2",0.932,"602c6e99329a1000012c1439","6031b8df71c8b600012f5615",-27.18947501009619,-1.4182989120323821,-34.50023726270467,-2.6215326365687144
13.2,"elimination","OCC1CCCCC1.O=S(O)(O)=O>>CC2=CCCCC2","CC2=CCCCC2","CC1(O)CCCCC1.Cc1ccc(S(=O)(=O)O)cc1.c1ccccc1>>CC2=CCCCC2","CC2=CCCCC2",0.879,"602c6e99329a1000012c1439","6031b8df71c8b600012f5615",-27.18947501009619,-1.4182989120323821,-110.9639125209135,-2.5280862351399165
13.299999999999999,"elimination","OCC1CCCCC1.O=S(O)(O)=O>>CC2=CCCCC2","CC2=CCCCC2","CC1(O)CCCCC1.Cc1ccc(S(=O)(=O)O)cc1>>CC2=CCCCC2","CC2=CCCCC2",0.878,"602c6e99329a1000012c1439","6031b8df71c8b600012f5615",-27.18947501009619,-1.4182989120323821,-100.20902501875004,-1.5280862351399165
13.399999999999999,"elimination","OCC1CCCCC1.O=S(O)(O)=O>>CC2=CCCCC2","CC2=CCCCC2","CC1(O)CCCCC1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccccc1>>CC2=CCCCC2","CC2=CCCCC2",0.81,"602c6e99329a1000012c1439","6031b8df71c8b600012f5615",-27.18947501009619,-1.4182989120323821,-128.1338375223558,-2.5280862351399165
13.5,"elimination","OCC1CCCCC1.O=S(O)(O)=O>>CC2=CCCCC2","CC2=CCCCC2","CC1(O)CCCCC1.Cc1ccc(S(=O)(=O)O)cc1.O.Cc1ccc(S(=O)(=O)O)cc1.O>>CC2=CCCCC2","CC2=CCCCC2",0.729,"602c6e99329a1000012c1439","6031b8df71c8b600012f5615",-27.18947501009619,-1.4182989120323821,-199.4180500375001,-14.781874369845633
14.,"elimination","BrC1(C)CCCC1.[O-]C>>CC2=CCCC2","CC2=CCCC2","CC1(O)CCCC1.Cc1ccc(S(=O)(=O)O)cc1>>CC2=CCCC2","CC2=CCCC2",0.855,"602c6e99329a1000012c1439","6031b90a71c8b600012f569b",-13.614709844115211,-4.547166791909865,-103.20902501875004,-1.4839311372208464
14.2,"elimination","BrC1(C)CCCC1.[O-]C>>CC2=CCCC2","CC2=CCCC2","CC1(O)CCCC1.Cc1ccc(S(=O)(=O)O)cc1.c1ccccc1>>CC2=CCCC2","CC2=CCCC2",0.831,"602c6e99329a1000012c1439","6031b90a71c8b600012f569b",-13.614709844115211,-4.547166791909865,-113.9639125209135,-2.4839311372208464
14.299999999999999,"elimination","BrC1(C)CCCC1.[O-]C>>CC2=CCCC2","CC2=CCCC2","CC1(O)CCCC1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccccc1>>CC2=CCCC2","CC2=CCCC2",0.769,"602c6e99329a1000012c1439","6031b90a71c8b600012f569b",-13.614709844115211,-4.547166791909865,-131.1338375223558,-2.4839311372208464
14.399999999999999,"elimination","BrC1(C)CCCC1.[O-]C>>CC2=CCCC2","CC2=CCCC2","CC1(O)CCCC1.Cc1ccc(S(=O)(=O)O)cc1.ClCCl>>CC2=CCCC2","CC2=CCCC2",0.722,"602c6e99329a1000012c1439","6031b90a71c8b600012f569b",-13.614709844115211,-4.547166791909865,-114.82373486286524,-4.312034329701984
14.5,"elimination","BrC1(C)CCCC1.[O-]C>>CC2=CCCC2","CC2=CCCC2","CC1(O)CCCC1.Cc1ccc(S(=O)(=O)O)cc1.O.Cc1ccc(S(=O)(=O)O)cc1.O>>CC2=CCCC2","CC2=CCCC2",0.698,"602c6e99329a1000012c1439","6031b90a71c8b600012f569b",-13.614709844115211,-4.547166791909865,-202.4180500375001,-14.737719271926565
15.,"elimination","BrC(C)C(CC)C.[O-]C(C)(C)C>>C/C=C(CC)\C","C/C=C(CC)\C","C/C=C(\C)CCl.C1CCOC1.CC[Mg]Br>>C/C=C(CC)\C","C/C=C(CC)\C",0.000019600000000000002,"602c6e99329a1000012c1439","6031b93471c8b600012f5732",-75.14403485709603,-3.2496042438032795,-66.39934468967273,-7.968702197987113
15.2,"elimination","BrC(C)C(CC)C.[O-]C(C)(C)C>>C/C=C(CC)\C","C/C=C(CC)\C","C/C=C(\C)C(=O)OCC.C1CCOC1.CC(C)(C)O[K]>>C/C=C(CC)\C","C/C=C(CC)\C",3.36e-10,"602c6e99329a1000012c1439","6031b93471c8b600012f5732",-75.14403485709603,-3.2496042438032795,-117.18947501009619,-5.093162733738257
15.299999999999999,"elimination","BrC(C)C(CC)C.[O-]C(C)(C)C>>C/C=C(CC)\C","C/C=C(CC)\C","C/C=C(\C)C(=O)OCC.C1CCOC1.CC(C)(C)[O-].[K+].CC(C)(C)[O-].[K+]>>C/C=C(CC)\C","C/C=C(CC)\C",1.71e-10,"602c6e99329a1000012c1439","6031b93471c8b600012f5732",-75.14403485709603,-3.2496042438032795,-125.0195500086539,-23.104065281389772
15.399999999999999,"elimination","BrC(C)C(CC)C.[O-]C(C)(C)C>>C/C=C(CC)\C","C/C=C(CC)\C","C/C=C(\C)C(C)=O.C1CCOC1.CCOCC.[Li]C>>C/C=C(CC)\C","C/C=C(CC)\C",1.68e-10,"602c6e99329a1000012c1439","6031b93471c8b600012f5732",-75.14403485709603,-3.2496042438032795,-75.50977500432694,-10.302364864123938
15.5,"elimination","BrC(C)C(CC)C.[O-]C(C)(C)C>>C/C=C(CC)\C","C/C=C(CC)\C","C/C=C(\C)C(C)=O.[H][H]>>C/C=C(CC)\C","C/C=C(CC)\C",2.5199999999999998e-11,"602c6e99329a1000012c1439","6031b93471c8b600012f5732",-75.14403485709603,-3.2496042438032795,-25.169925001442312,-6.994247335787341
